,0,1,2,3,4,5,6,7
0,7,April,MI,vs,CSK,Wankhede Stadium,8:00,"PM
"
1,8,April,DD,vs,KXIP,Feroz Shah Kotla,4:00,"PM
"
2,8,April,KKR,vs,RCB,Eden Gardens,8:00,"PM
"
3,9,April,SRH,vs,RR,"Rajiv Gandhi International Stadium, Uppal",8:00,"PM
"
4,10,April,CSK,vs,KKR,"MA Chidambaram Stadium, Chepauk",8:00,"PM
"
5,11,April,RR,vs,DD,Sawai Mansingh Stadium,8:00,"PM
"
6,12,April,SRH,vs,MI,"Rajiv Gandhi International Stadium, Uppal",8:00,"PM
"
7,13,April,RCB,vs,KXIP,M Chinnaswamy Stadium,8:00,"PM
"
8,14,April,MI,vs,DD,Wankhede Stadium,4:00,"PM
"
9,14,April,KKR,vs,SRH,Eden Gardens,8:00,"PM
"
10,15,April,RCB,vs,RR,M Chinnaswamy Stadium,4:00,"PM
"
11,15,April,KXIP,vs,CSK,Holkar Cricket Stadium,8:00,"PM
"
12,16,April,KKR,vs,DD,Eden Gardens,8:00,"PM
"
13,17,April,MI,vs,RCB,Wankhede Stadium,8:00,"PM
"
14,18,April,RR,vs,KKR,Sawai Mansingh Stadium,8:00,"PM
"
15,19,April,KXIP,vs,SRH,Holkar Cricket Stadium,8:00,"PM
"
16,20,April,CSK,vs,RR,"MA Chidambaram Stadium, Chepauk",8:00,"PM
"
17,21,April,KKR,vs,KXIP,Eden Gardens,4:00,"PM
"
18,21,April,DD,vs,RCB,Feroz Shah Kotla,8:00,"PM
"
19,22,April,SRH,vs,CSK,"Rajiv Gandhi International Stadium, Uppal",4:00,"PM
"
20,22,April,RR,vs,MI,Sawai Mansingh Stadium,8:00,"PM
"
21,23,April,KXIP,vs,DD,Holkar Cricket Stadium,8:00,"PM
"
22,24,April,MI,vs,SRH,Wankhede Stadium,8:00,"PM
"
23,25,April,RCB,vs,CSK,M Chinnaswamy Stadium,8:00,"PM
"
24,26,April,SRH,vs,KXIP,"Rajiv Gandhi International Stadium, Uppal",8:00,"PM
"
25,27,April,DD,vs,KKR,Feroz Shah Kotla,8:00,"PM
"
26,28,April,CSK,vs,MI,"MA Chidambaram Stadium, Chepauk",8:00,"PM
"
27,29,April,RR,vs,SRH,Sawai Mansingh Stadium,4:00,"PM
"
28,29,April,RCB,vs,KKR,M Chinnaswamy Stadium,8:00,"PM
"
29,30,April,CSK,vs,DD,"MA Chidambaram Stadium, Chepauk",8:00,"PM
"
30,1,May,RCB,vs,MI,M Chinnaswamy Stadium,8:00,"PM
"
31,2,May,DD,vs,RR,Feroz Shah Kotla,8:00,"PM
"
32,3,May,KKR,vs,CSK,Eden Gardens,8:00,"PM
"
33,4,May,KXIP,vs,MI,"Punjab Cricket Association Stadium, Mohali",8:00,"PM
"
34,5,May,CSK,vs,RCB,"MA Chidambaram Stadium, Chepauk",4:00,"PM
"
35,5,May,SRH,vs,DD,"Rajiv Gandhi International Stadium, Uppal",8:00,"PM
"
36,6,May,MI,vs,KKR,Wankhede Stadium,4:00,"PM
"
37,6,May,KXIP,vs,RR,"Punjab Cricket Association Stadium, Mohali",8:00,"PM
"
38,7,May,SRH,vs,RCB,"Rajiv Gandhi International Stadium, Uppal",8:00,"PM
"
39,8,May,RR,vs,KXIP,Sawai Mansingh Stadium,8:00,"PM
"
40,9,May,KKR,vs,MI,Eden Gardens,8:00,"PM
"
41,10,May,DD,vs,SRH,Feroz Shah Kotla,8:00,"PM
"
42,11,May,RR,vs,CSK,Sawai Mansingh Stadium,8:00,"PM
"
43,12,May,KXIP,vs,KKR,"Punjab Cricket Association Stadium, Mohali",4:00,"PM
"
44,12,May,RCB,vs,DD,M Chinnaswamy Stadium,8:00,"PM
"
45,13,May,CSK,vs,SRH,"MA Chidambaram Stadium, Chepauk",4:00,"PM
"
46,13,May,MI,vs,RR,Wankhede Stadium,8:00,"PM
"
47,14,May,KXIP,vs,RCB,"Punjab Cricket Association Stadium, Mohali",8:00,"PM
"
48,15,May,KKR,vs,RR,Eden Gardens,8:00,"PM
"
49,16,May,MI,vs,KXIP,Wankhede Stadium,8:00,"PM
"
50,17,May,RCB,vs,SRH,M Chinnaswamy Stadium,8:00,"PM
"
51,18,May,DD,vs,CSK,Feroz Shah Kotla,8:00,"PM
"
52,19,May,RR,vs,RCB,Sawai Mansingh Stadium,4:00,"PM
"
53,19,May,SRH,vs,KKR,"Rajiv Gandhi International Stadium, Uppal",8:00,"PM
"
54,20,May,DD,vs,MI,Feroz Shah Kotla,4:00,"PM
"
55,20,May,CSK,vs,KXIP,"MA Chidambaram Stadium, Chepauk",8:00,"PM
"
56,22,May,X1,vs,X2,Wankhede Stadium,8:00,"PM
"
57,23,May,X3,vs,X4,Maharashtra Cricket Association Stadium,8:00,"PM
"
58,25,May,Y1,vs,Y2,Maharashtra Cricket Association Stadium,8:00,"PM
"
59,27,May,Z1,vs,Z2,Wankhede Stadium,8:00,"PM
"
