,,,,,,,,,,,
Sun,4/1,39°/19°,0,0,Mostly,sunny,and,very,warm,36°/18°,
Mon,4/2,39°/20°,0,0,Partly,sunny,and,very,warm,37°/18°,
Tue,4/3,39°/20°,0,0,Very,warm,with,clouds,and,sun,37°/18°
Wed,4/4,38°/23°,2,0,Showers,around,in,the,p.m.,37°/18°,
Thu,4/5,39°/22°,2,0,A,little,afternoon,rain,37°/19°,,
Fri,4/6,38°/20°,0,0,Mostly,sunny,and,very,warm,37°/19°,
Sat,4/7,38°/21°,1,0,An,afternoon,shower,37°/19°,,,
Sun,4/8,38°/21°,0,0,Partly,sunny,and,very,warm,37°/19°,
Mon,4/9,37°/20°,0,0,Very,warm,with,some,sun,37°/19°,
Tue,4/10,38°/20°,0,0,Warm,with,increasing,clouds,37°/19°,,
Wed,4/11,37°/20°,0,0,Very,warm,with,clouds,and,sun,37°/19°
Thu,4/12,37°/20°,0,0,Partly,sunny,and,very,warm,37°/19°,
Fri,4/13,38°/20°,0,0,Mostly,sunny,and,very,warm,37°/19°,
Sat,4/14,37°/21°,0,0,Mostly,sunny,and,very,warm,37°/19°,
Sun,4/15,38°/21°,0,0,Mostly,sunny,and,very,warm,37°/20°,
Mon,4/16,38°/22°,1,0,A,shower,in,the,afternoon,37°/20°,
Tue,4/17,38°/22°,2,0,An,afternoon,shower,37°/20°,,,
Wed,4/18,38°/22°,2,0,An,afternoon,shower,38°/20°,,,
Thu,4/19,38°/21°,0,0,Sun,and,some,clouds,38°/20°,,
Fri,4/20,38°/21°,0,0,Sun,and,some,clouds,38°/20°,,
Sat,4/21,38°/23°,0,0,Clouds,and,sun,38°/20°,,,
Sun,4/22,39°/23°,0,0,Warm,with,sunny,intervals,38°/20°,,
Mon,4/23,38°/23°,0,0,Mostly,cloudy,38°/20°,,,,
Tue,4/24,38°/21°,0,0,Mostly,cloudy,38°/21°,,,,
Wed,4/25,38°/21°,0,0,Clouds,and,sunshine,38°/21°,,,
Thu,4/26,38°/21°,0,0,Sunshine,38°/21°,,,,,
Fri,4/27,38°/21°,0,0,Sunshine,38°/21°,,,,,
Sat,4/28,38°/22°,0,0,Mostly,sunny,38°/21°,,,,
Sun,4/29,39°/22°,0,0,Mostly,sunny,and,very,warm,38°/21°,
Mon,4/30,38°/21°,0,0,Sun,and,some,clouds,38°/21°,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Tue,5/1,38°/23°,0,0,Clouds,and,sun,38°/21°,,,
Wed,5/2,38°/22°,0,0,Partly,sunny,38°/21°,,,,
Thu,5/3,38°/21°,1,0,A,p.m.,t-storm,in,spots,38°/21°,
Fri,5/4,38°/22°,0,0,Mostly,cloudy,38°/21°,,,,
Sat,5/5,39°/21°,1,0,Very,warm,with,some,sun,38°/22°,
Sun,5/6,37°/22°,3,0,Overcast,with,spotty,showers,38°/22°,,
Mon,5/7,37°/24°,0,0,Mostly,cloudy,38°/22°,,,,
Tue,5/8,39°/24°,0,0,Partly,sunny,and,very,warm,38°/22°,
Wed,5/9,39°/24°,0,0,Partly,sunny,and,very,warm,38°/22°,
Thu,5/10,37°/24°,0,0,Mainly,cloudy,38°/22°,,,,
Fri,5/11,39°/24°,0,0,Mostly,sunny,and,very,warm,38°/22°,
Sat,5/12,39°/24°,0,0,Mostly,sunny,and,very,warm,38°/22°,
Sun,5/13,39°/24°,0,0,Sunny,and,very,warm,37°/22°,,
Mon,5/14,39°/24°,0,0,Mostly,sunny,and,very,warm,37°/22°,
Tue,5/15,38°/23°,0,0,Partly,sunny,and,very,warm,37°/22°,
Wed,5/16,39°/24°,0,0,Partly,sunny,and,very,warm,37°/22°,
Thu,5/17,39°/25°,0,0,Partly,sunny,and,very,warm,37°/22°,
Fri,5/18,39°/25°,0,0,Very,warm,with,clouds,and,sun,37°/22°
Sat,5/19,39°/24°,0,0,Partly,sunny,and,very,warm,37°/22°,
Sun,5/20,38°/25°,0,0,Partly,sunny,and,very,warm,37°/23°,
Mon,5/21,38°/25°,0,0,Very,warm,with,some,sun,36°/23°,
Tue,5/22,39°/24°,0,0,Partly,sunny,and,very,warm,36°/23°,
Wed,5/23,38°/23°,0,0,Very,warm,with,clouds,and,sun,36°/23°
Thu,5/24,37°/24°,0,0,Mostly,sunny,and,very,warm,36°/23°,
Fri,5/25,37°/24°,0,0,Partly,sunny,and,very,warm,36°/23°,
Sat,5/26,37°/22°,4,0,An,afternoon,t-storm,or,two,36°/23°,
Sun,5/27,35°/22°,5,0,Mostly,cloudy,35°/23°,,,,
Mon,5/28,34°/22°,12,0,Cloudy,with,showers,35°/23°,,,
Tue,5/29,34°/22°,14,0,Cloudy,with,showers,35°/23°,,,
Wed,5/30,33°/22°,14,0,Overcast,with,showers,35°/23°,,,
Thu,5/31,34°/22°,5,0,Clouds,and,a,few,showers,35°/23°,
