,3_w,Economy,Runs,Wickets
S Vidyut,0.0,10.5,21.0,1.0
Y Nagar,0.0,9.75,117.0,4.0
C Ganapathy,0.0,13.0,13.0,0.0
Gagandeep Singh,0.0,10.07,141.0,3.0
V Sehwag,0.0,10.13,233.0,6.0
A Flintoff,0.0,9.55,105.0,2.0
S Narwal,1.0,10.83,195.0,5.0
FY Fazal,0.0,10.0,20.0,0.0
R Sathish,0.0,9.46,227.0,3.0
MK Tiwary,0.0,11.83,71.0,1.0
LJ Wright,0.0,10.0,120.0,2.0
SR Tendulkar,0.0,9.5,57.0,0.0
TP Sudhindra,0.0,11.0,132.0,1.0
MA Khote,0.0,10.2,51.0,2.0
AA Kazi,0.0,10.0,20.0,0.0
P Amarnath,0.0,10.73,236.0,7.0
A Uniyal,0.0,10.67,64.0,2.0
JDS Neesham,0.0,9.78,88.0,1.0
D Kalyankrishna,0.0,10.62,85.0,2.0
B Geeves,0.0,11.25,90.0,1.0
K Santokie,0.0,10.88,87.0,3.0
KJ Abbott,0.0,10.0,170.0,2.0
AJ Finch,0.0,9.43,66.0,1.0
Abdur Razzak,0.0,11.5,23.0,0.0
S Ladda,0.0,9.61,221.0,5.0
TM Head,0.0,10.12,81.0,2.0
B Laughlin,0.0,9.71,68.0,1.0
SS Agarwal,0.0,10.5,42.0,1.0
MJ Henry,0.0,14.0,70.0,1.0
RA Shaikh,0.0,11.0,11.0,0.0
JJ van der Wath,0.0,10.42,125.0,3.0
R Ninan,0.0,10.83,65.0,3.0
VS Yeligati,0.0,10.6,53.0,0.0
CL White,0.0,11.57,81.0,1.0
L Ablish,0.0,10.29,72.0,3.0
A Nel,0.0,10.33,31.0,1.0
RG More,0.0,9.5,57.0,1.0
LRPL Taylor,0.0,11.5,23.0,0.0
RW Price,0.0,11.0,33.0,0.0
SA Abbott,0.0,11.0,55.0,0.0
AUK Pathan,0.0,9.5,57.0,0.0
RR Bose,0.0,12.0,24.0,0.0
KAJ Roach,0.0,9.5,76.0,0.0
GS Sandhu,0.0,10.25,82.0,1.0
DB Ravi Teja,0.0,9.33,28.0,1.0
Tejas Baroka,0.0,11.0,33.0,0.0
RA Tripathi,0.0,12.0,12.0,0.0
Mashrafe Mortaza,0.0,13.5,54.0,0.0
BJ Rohrer,0.0,11.0,11.0,0.0
LMP Simmons,0.0,11.33,34.0,1.0
MB Parmar,0.0,10.67,32.0,0.0
