,0,1,2,3,4,5,6,wickets
R Dravid,29,22,3,0,10,0,0,2
AM Rahane,11,14,2,0,3,0,0,2
SR Watson,13,22,2,0,10,0,4,0
AL Menaria,7,12,1,0,1,0,0,1
OA Shah,3,4,0,0,0,0,0,0
JEC Franklin,13,5,1,0,3,0,1,1
SR Tendulkar,25,17,2,0,7,0,0,2
RG Sharma,17,26,1,0,3,0,0,2
RJ Peterson,5,7,1,0,1,0,0,1
KD Karthik,24,19,1,0,2,0,1,3
AT Rayudu,10,13,0,0,2,0,1,2
NLTC Perera,6,2,0,0,0,0,0,2
Harbhajan Singh,3,0,0,0,1,0,0,1
SL Malinga,8,4,0,0,1,0,1,0
PP Ojha,0,1,0,0,0,0,0,0
RV Uthappa,154,145,22,5,38,0,14,14
MK Pandey,56,55,7,0,12,0,7,5
TL Suman,24,15,1,0,3,0,0,4
MN Samuels,35,28,2,0,4,0,2,5
LRPL Taylor,27,26,5,0,1,0,2,3
AD Mathews,40,65,6,1,2,0,9,6
AM Nayar,31,39,2,0,5,0,0,6
MR Marsh,13,12,1,0,2,0,2,3
B Kumar,31,23,7,0,4,0,1,6
R Sharma,7,1,0,0,0,0,0,3
MEK Hussey,6,1,0,0,1,0,0,1
WP Saha,10,3,0,0,1,0,1,1
SK Raina,16,41,4,0,7,0,1,1
S Badrinath,8,18,4,0,2,0,0,1
MS Dhoni,8,23,5,0,5,0,3,1
AJ Finch,70,35,8,0,18,0,9,7
Yuvraj Singh,36,28,3,0,4,0,6,5
SPD Smith,63,79,11,0,10,0,9,8
BAW Mendis,2,2,0,0,0,0,0,1
AB Dinda,3,4,0,0,1,0,0,1
KW Richardson,16,14,3,0,2,0,1,2
Parvez Rasool,4,5,0,0,0,0,0,1
JD Ryder,44,48,7,1,9,0,3,6
SC Ganguly,56,43,5,0,9,0,1,6
CJ Ferguson,11,11,2,0,0,0,0,2
PA Patel,12,8,1,0,5,0,1,3
Q de Kock,7,2,0,0,0,0,0,1
CL White,14,20,2,0,6,0,5,2
GH Vihari,8,1,0,0,0,0,0,1
BB Samantray,17,13,3,0,3,0,1,1
KV Sharma,8,5,1,0,0,0,0,1
A Mishra,6,16,1,0,3,0,0,1
A Ashish Reddy,2,11,1,0,0,0,1,0
DW Steyn,0,0,0,0,1,0,0,0
MJ Clarke,30,23,4,0,5,1,0,4
M Manhas,17,29,5,0,6,0,2,1
WD Parnell,7,12,0,0,0,0,0,3
AP Majumdar,23,32,7,0,5,0,2,3
S Dhawan,3,6,0,0,1,0,1,0
KC Sangakkara,7,6,1,0,1,0,0,1
JP Duminy,4,18,1,0,0,0,1,0
IR Jaggi,1,5,1,1,0,0,0,0
DPMD Jayawardene,30,20,2,0,12,0,0,2
DA Warner,9,3,0,0,0,0,1,2
B Chipli,11,6,0,0,1,0,1,1
V Sehwag,15,30,4,0,13,0,3,3
IK Pathan,11,16,1,0,3,0,0,1
BJ Rohrer,5,3,0,0,1,0,0,1
CM Gautam,10,11,1,1,2,0,1,1
M Morkel,2,0,0,0,0,0,0,2
UT Yadav,2,7,1,0,0,0,0,0
S Nadeem,3,0,1,0,1,0,0,1
BB McCullum,36,34,2,0,7,0,1,3
G Gambhir,29,27,5,1,10,0,2,2
JH Kallis,25,27,1,0,4,0,0,3
Shakib Al Hasan,12,13,3,0,3,0,2,2
MK Tiwary,5,11,2,0,2,0,0,0
YK Pathan,14,11,6,1,5,0,2,1
DR Smith,1,0,0,0,0,0,0,1
GJ Maxwell,2,3,0,0,1,0,1,0
MD Mishra,3,0,0,0,1,0,0,1
AC Thomas,5,7,1,0,1,0,1,2
K Upadhyay,3,4,1,0,0,0,1,0
MDKJ Perera,1,0,0,0,0,0,0,1
STR Binny,4,1,0,0,0,0,0,1
BJ Hodge,7,10,0,0,3,0,0,0
DH Yagnik,3,2,1,0,2,0,0,1
JP Faulkner,6,10,1,0,1,0,1,1
Harpreet Singh,1,4,1,0,0,0,0,1
AG Murtaza,2,3,0,0,0,0,0,0
LR Shukla,2,4,1,0,3,0,1,0
UA Birla,11,3,0,0,1,0,0,1
M Rawat,6,5,0,0,0,0,0,1
LJ Wright,10,12,0,0,7,0,1,1
RV Gomez,0,0,0,0,1,0,0,0
AC Gilchrist,14,3,0,0,3,0,1,1
Mandeep Singh,21,19,4,0,7,0,0,3
M Vohra,9,9,3,0,7,0,0,0
DJ Hussey,14,12,2,0,1,0,1,1
PC Valthaty,4,1,0,0,0,0,0,1
PP Chawla,3,2,0,0,2,0,1,1
AD Mascarenhas,1,3,1,0,0,0,0,1
Bipul Sharma,4,7,2,0,3,0,2,0
P Kumar,1,1,0,0,0,0,0,0
NV Ojha,17,6,0,0,4,0,1,1
Y Venugopal Rao,11,11,1,0,0,0,0,1
P Negi,3,6,0,0,2,0,0,1
F du Plessis,16,11,0,0,5,0,2,1
M Vijay,5,4,2,0,0,0,0,1
RA Jadeja,6,14,1,0,4,0,2,1
JA Morkel,0,3,0,0,0,0,0,0
DJ Bravo,0,1,0,0,1,0,0,0
SS Tiwary,29,32,9,0,5,0,3,2
CH Gayle,25,16,0,0,5,0,7,2
V Kohli,9,16,1,0,4,0,0,2
AB de Villiers,5,9,4,0,6,0,3,0
MC Henriques,4,3,1,0,4,0,1,0
TM Dilshan,19,19,2,0,6,0,1,0
MS Bisla,7,4,0,0,2,0,0,1
EJG Morgan,5,7,2,0,1,0,0,1
RN ten Doeschate,6,9,2,0,3,0,1,1
R Bhatia,1,1,1,0,1,0,1,0
KP Pietersen,8,9,1,0,1,0,2,1
