,Average,No_of_matches,Runs
Mandeep Singh,18,14,260
AC Gilchrist,22,13,294
M Vohra,16,10,161
DJ Hussey,21,11,235
Gurkeerat Singh,12,9,108
R Sathish,13,8,109
Azhar Mahmood,19,10,196
PP Chawla,6,10,64
RJ Harris,1,2,2
P Kumar,6,7,47
P Awana,0,4,1
MS Bisla,18,14,255
G Gambhir,27,15,406
YK Pathan,20,16,332
JH Kallis,20,15,311
EJG Morgan,23,13,307
SMSM Senanayake,2,4,10
PA Reddy,13,7,91
S Dhawan,31,10,311
KC Sangakkara,13,9,120
GH Vihari,14,17,241
KV Sharma,12,7,85
NLTC Perera,16,14,235
DJG Sammy,19,9,174
A Mishra,14,6,89
A Ashish Reddy,12,10,125
DW Steyn,6,8,53
R Dravid,27,17,471
AM Rahane,27,18,488
SR Watson,33,16,543
STR Binny,18,16,293
DA Miller,34,12,418
DPMD Jayawardene,21,14,303
V Sehwag,22,12,270
UBT Chand,17,9,158
DA Warner,24,16,395
BJ Rohrer,22,8,179
CM Gautam,14,3,44
KM Jadhav,13,9,123
BJ Hodge,20,14,293
DH Yagnik,13,9,125
JP Faulkner,6,9,57
A Chandila,4,1,4
S Sreesanth,0,2,1
SW Tait,1,1,1
SK Trivedi,1,2,3
BB McCullum,6,1,6
RV Uthappa,27,16,434
MK Pandey,19,7,136
TL Suman,10,5,52
MN Samuels,4,2,8
LRPL Taylor,12,5,63
AD Mathews,17,10,172
AM Nayar,7,9,66
MR Marsh,17,8,140
B Kumar,5,9,52
R Sharma,1,6,11
SR Tendulkar,20,14,287
RT Ponting,10,5,52
KD Karthik,26,19,510
RG Sharma,28,19,538
KA Pollard,23,18,420
AT Rayudu,17,15,265
R Dhawan,5,4,21
Harbhajan Singh,8,13,116
MG Johnson,6,6,39
SL Malinga,1,6,9
PP Ojha,0,3,2
MC Juneja,18,6,108
NV Ojha,4,2,9
J Botha,7,6,43
IK Pathan,10,13,134
AD Russell,5,2,11
S Nadeem,2,6,14
A Nehra,0,4,1
MEK Hussey,43,17,733
WP Saha,23,3,70
SK Raina,32,17,548
S Badrinath,17,7,124
MS Dhoni,28,16,461
AJ Finch,32,14,456
Yuvraj Singh,18,13,238
SPD Smith,22,7,159
BAW Mendis,2,1,2
AB Dinda,1,5,9
KW Richardson,17,2,34
Parvez Rasool,2,2,5
MK Tiwary,16,9,146
DB Das,12,6,75
R Bhatia,9,10,99
LR Shukla,1,2,3
SP Narine,3,6,21
L Balaji,4,2,9
S Anirudha,0,1,0
M Vijay,20,15,312
RA Jadeja,14,14,201
DJ Bravo,10,12,121
JA Morkel,15,3,46
CH Morris,2,6,14
R Ashwin,7,5,35
CA Pujara,23,4,92
CH Gayle,44,16,719
V Kohli,37,16,593
AB de Villiers,26,14,373
MC Henriques,15,8,121
KL Rahul,10,2,20
MS Gony,11,4,45
SV Samson,20,10,206
PA Patel,22,13,294
CL White,17,13,226
BB Samantray,17,7,123
A Mukund,19,1,19
SS Tiwary,18,6,109
R Rampaul,6,6,38
R Vinay Kumar,15,4,63
LA Pomersbach,19,3,58
SE Marsh,37,8,300
DR Smith,32,13,418
AP Tare,24,5,123
TM Dilshan,17,4,71
KK Cooper,7,5,39
BMAJ Mendis,7,3,23
AB Agarkar,6,2,12
M Morkel,9,6,57
UT Yadav,5,7,38
Q de Kock,2,3,6
GJ Maxwell,12,3,36
A Mithun,2,1,2
M Kartik,0,1,0
JD Unadkat,1,1,1
MA Agarwal,15,4,60
DT Christian,3,2,6
KB Arun Karthik,10,4,41
B Laughlin,2,2,4
AS Rajpoot,2,1,2
B Chipli,16,1,16
RN ten Doeschate,21,4,85
OA Shah,12,2,25
R McLaren,1,2,3
Iqbal Abdulla,4,2,8
LJ Wright,21,5,106
M Manhas,6,2,13
AG Murtaza,5,1,5
IC Pandey,0,1,0
P Dogra,5,1,5
PJ Sangwan,4,1,4
PC Valthaty,6,1,6
AD Mascarenhas,5,1,5
MDKJ Perera,7,2,14
B Lee,10,2,21
Mohammed Shami,5,1,5
X Thalaivan Sargunam,10,1,10
Sachin Baby,3,1,3
PV Tambe,3,1,3
MM Sharma,0,2,0
UA Birla,7,1,7
M Rawat,5,1,5
WD Parnell,5,1,5
K Upadhyay,1,1,1
KK Nair,0,1,0
Harmeet Singh,3,1,3
Sandeep Sharma,0,1,0
AL Menaria,1,1,1
R Shukla,1,1,1
RV Gomez,4,1,4
DB Ravi Teja,7,2,14
AB McDonald,0,1,0
J Syed Mohammad,5,2,10
RE van der Merwe,11,2,22
S Kaul,7,1,7
NM Coulter-Nile,9,1,9
S Narwal,23,1,23
