Player,Runs_scored,Balls,Overs,Runs_given,Wickets
S Dhawan,0,0,0,0,0
DA Warner ,0,0,0,0,0
KS Williamson,0,0,0,0,0
MK Pandey ,0,0,0,0,0
Shakib Al Hasan,0,0,0,0,0
WP Saha,0,0,0,0,0
DJ Hooda,0,0,0,0,0
B Kumar ,0,0,0,0,0
Rashid Khan ,0,0,0,0,0
Basil Thampi,0,0,0,0,0
Sandeep Sharma ,0,0,0,0,0
CR Brathwaite ,0,0,0,0,0
YK Pathan ,0,0,0,0,0
Mohammad Nabi,0,0,0,0,0
CJ Jordan ,0,0,0,0,0
B Stanlake ,0,0,0,0,0
S Kaul ,0,0,0,0,0
Syed Khaleel Ahmed ,0,0,0,0,0
SP Goswami ,0,0,0,0,0
T Natarajan ,0,0,0,0,0
Bipul Sharma ,0,0,0,0,0
Mehdi Hasan ,0,0,0,0,0
Ricky Bhui ,0,0,0,0,0
Sachin Baby ,0,0,0,0,0
Tanmay Agarwal ,0,0,0,0,0
